graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GraphSAGE,1:10,focal_loss,44,GNNExplainer,0.996,30,0.895,0.487,0.567,nan,0.492,-0.119,28,
0,GraphSAGE,1:10,focal_loss,44,PGExplainer,0.996,30,nan,0.906,nan,nan,0.08,0.167,28,no
0,GraphSAGE,1:10,focal_loss,44,GNNShap,0.996,30,0.981,nan,0.133,0.97,0.564,0.17,28,
0,GraphSAGE,1:50,none,42,GNNExplainer,0.991,30,0.922,0.481,0.233,nan,0.619,-0.172,32,
0,GraphSAGE,1:50,none,42,PGExplainer,0.991,30,nan,0.946,nan,nan,0.078,0.251,32,no
0,GraphSAGE,1:50,none,42,GNNShap,0.991,30,0.981,nan,0.233,0.928,0.5,0.444,32,
0,GraphSAGE,1:50,none,43,GNNExplainer,0.989,30,0.927,0.551,0.133,nan,0.584,-0.179,33,
0,GraphSAGE,1:50,none,43,PGExplainer,0.989,30,nan,0.947,nan,nan,0.084,0.341,33,no
0,GraphSAGE,1:50,none,43,GNNShap,0.989,30,0.978,nan,0.2,0.925,0.5,0.381,33,
0,GraphSAGE,1:50,none,44,GNNExplainer,0.992,30,0.924,0.511,0.3,nan,0.686,-0.189,32,
0,GraphSAGE,1:50,none,44,PGExplainer,0.992,30,nan,0.952,nan,nan,0.133,0.306,32,no
0,GraphSAGE,1:50,none,44,GNNShap,0.992,30,0.984,nan,0.233,0.936,0.501,0.496,32,
0,GraphSAGE,1:50,class_weighting,42,GNNExplainer,0.991,30,0.899,0.497,0.467,nan,0.805,-0.042,28,
0,GraphSAGE,1:50,class_weighting,42,PGExplainer,0.991,30,nan,0.901,nan,nan,0.271,0.263,28,no
0,GraphSAGE,1:50,class_weighting,42,GNNShap,0.991,30,0.969,nan,0.233,0.93,0.64,0.558,28,
0,GraphSAGE,1:50,class_weighting,43,GNNExplainer,0.992,30,0.88,0.48,0.367,nan,0.735,-0.023,33,
0,GraphSAGE,1:50,class_weighting,43,PGExplainer,0.992,30,nan,0.948,nan,nan,0.106,0.403,33,no
0,GraphSAGE,1:50,class_weighting,43,GNNShap,0.992,30,0.962,nan,0.167,0.936,0.599,0.499,33,
0,GraphSAGE,1:50,class_weighting,44,GNNExplainer,0.99,30,0.876,0.507,0.367,nan,0.756,-0.028,29,
0,GraphSAGE,1:50,class_weighting,44,PGExplainer,0.99,30,nan,0.922,nan,nan,0.148,0.326,29,no
0,GraphSAGE,1:50,class_weighting,44,GNNShap,0.99,30,0.964,nan,0.233,0.94,0.664,0.418,29,
0,GraphSAGE,1:50,focal_loss,42,GNNExplainer,0.994,30,0.916,0.503,0.2,nan,0.413,-0.163,32,
0,GraphSAGE,1:50,focal_loss,42,PGExplainer,0.994,30,nan,0.84,nan,nan,0.032,0.141,32,no
0,GraphSAGE,1:50,focal_loss,42,GNNShap,0.994,30,0.991,nan,0.267,0.933,0.435,0.172,32,
0,GraphSAGE,1:50,focal_loss,43,GNNExplainer,0.993,30,0.925,0.516,0.3,nan,0.395,-0.175,31,
0,GraphSAGE,1:50,focal_loss,43,PGExplainer,0.993,30,nan,0.915,nan,nan,0.046,0.127,31,no
0,GraphSAGE,1:50,focal_loss,43,GNNShap,0.993,30,0.986,nan,0.267,0.944,0.402,0.232,31,
0,GraphSAGE,1:50,focal_loss,44,GNNExplainer,0.993,30,0.932,0.478,0.3,nan,0.455,-0.173,31,
0,GraphSAGE,1:50,focal_loss,44,PGExplainer,0.993,30,nan,0.864,nan,nan,0.059,0.119,31,no
