architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GraphSAGE,1:10,8698,2,0.9584962406015036,0.5,0.5,0.5,1.0,18,34
GraphSAGE,1:50,9405,4,0.9105263157894736,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,30,58
GraphSAGE,1:50,8052,1,0.9362406015037592,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,31,70
GraphSAGE,1:50,8365,1,0.9381954887218044,0.4000000000000001,0.4,0.4,0.0,29,62
GraphSAGE,1:50,9300,4,0.9524812030075187,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,30,58
GraphSAGE,1:50,8597,2,0.9442105263157894,0.375,0.375,0.375,1.0,24,46
GraphSAGE,1:50,9128,3,0.9145864661654134,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,31,60
GraphSAGE,1:50,9462,4,0.9108270676691728,0.575,0.575,0.575,0.0,33,66
GraphSAGE,1:50,9008,3,0.8891729323308271,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,33,64
GraphSAGE,1:50,8059,1,0.8724812030075186,0.5227272727272727,0.5227272727272727,0.5227272727272727,1.0,37,80
GraphSAGE,1:50,8147,1,0.9497744360902255,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,28,62
GraphSAGE,1:50,9112,3,0.9124812030075187,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,33,64
GraphSAGE,1:50,9382,4,0.8908270676691729,0.525,0.525,0.525,0.0,35,68
GraphSAGE,1:50,9411,4,0.9604511278195487,0.5,0.5,0.5,0.0,30,58
GraphSAGE,1:50,9354,4,0.9257142857142856,0.525,0.525,0.525,0.0,35,68
GraphSAGE,1:50,8738,2,0.9461654135338342,0.5,0.5,0.5,1.0,17,32
GraphSAGE,1:50,8320,1,0.8926315789473683,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,31,66
GraphSAGE,1:50,9238,4,0.9649624060150375,0.5,0.5,0.5,0.0,39,76
GraphSAGE,1:50,8082,1,0.9526315789473683,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.0,27,64
GraphSAGE,1:50,8461,2,0.9497744360902255,0.375,0.375,0.375,1.0,20,38
GraphSAGE,1:50,8121,1,0.9718796992481202,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.0,35,78
GraphSAGE,1:50,9438,4,0.9470676691729322,0.5,0.5,0.5,0.0,32,62
GraphSAGE,1:50,8099,1,0.9678195488721805,0.58,0.58,0.58,0.0,32,84
GraphSAGE,1:50,8619,2,0.981954887218045,0.5,0.5,0.5,1.0,26,50
GraphSAGE,1:50,8855,2,0.9521804511278195,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,18,34
GraphSAGE,1:50,8164,1,0.8858646616541351,0.525,0.525,0.525,1.0,33,72
GraphSAGE,1:50,8637,2,0.9406015037593983,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,23,44
GraphSAGE,1:50,9540,4,0.9360902255639096,0.4000000000000001,0.4,0.4,0.0,32,62
GraphSAGE,1:50,9316,4,0.9514285714285714,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,31,60
GraphSAGE,1:50,8065,1,0.9064661654135339,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,40,86
GraphSAGE,1:50,8982,3,0.9530827067669172,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,32,62
GAT,1:1,9466,4,0.9830075187969924,0.525,0.525,0.525,1.0,38,76
GAT,1:1,9411,4,0.9869172932330825,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.0,30,58
GAT,1:1,8825,2,0.9881203007518795,0.5,0.5,0.5,0.0,26,50
GAT,1:1,8053,1,0.9840601503759399,0.7727272727272727,0.7727272727272727,0.7727272727272727,1.0,83,176
GAT,1:1,8335,1,0.9676691729323308,0.5476190476190477,0.5476190476190477,0.5476190476190477,1.0,33,76
GAT,1:1,9460,4,0.9860150375939849,0.525,0.525,0.525,1.0,35,70
GAT,1:1,8404,2,0.9711278195488721,0.375,0.375,0.375,0.0,25,48
GAT,1:1,8463,2,0.9628571428571429,0.5,0.5,0.5,0.0,22,44
GAT,1:1,8029,1,0.9903759398496239,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,25,52
GAT,1:1,8874,2,0.9762406015037592,0.375,0.375,0.375,0.0,23,44
GAT,1:1,8423,2,0.9609022556390977,0.375,0.375,0.375,1.0,26,50
GAT,1:1,9026,3,0.9888721804511278,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,35,68
GAT,1:1,8969,3,0.9903759398496239,0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,32,62
GAT,1:1,8738,2,0.9454135338345866,0.5,0.5,0.5,0.0,17,32
GAT,1:1,8265,1,0.9724812030075187,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,34,76
GAT,1:1,8270,1,0.9876691729323307,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,25,58
GAT,1:1,8694,2,0.960751879699248,0.375,0.375,0.375,0.0,24,46
GAT,1:1,8461,2,0.9888721804511278,0.25,0.25,0.25,0.0,20,38
