graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
1,GCN,natural,none,43,PGExplainer,0.782,30,nan,0.825,nan,nan,0.157,-0.114,32,no
1,GCN,natural,none,43,GNNShap,0.782,30,0.988,nan,0.2,0.973,0.648,0.294,32,
1,GCN,natural,none,44,GNNExplainer,0.781,30,0.98,0.522,0.7,nan,0.552,-0.115,29,
1,GCN,natural,none,44,PGExplainer,0.781,30,nan,0.859,nan,nan,0.145,-0.128,29,no
1,GCN,natural,none,44,GNNShap,0.781,30,0.992,nan,0.2,0.973,0.637,0.325,29,
1,TAGCN,1:1,none,42,GNNExplainer,0.973,30,0.873,0.53,0.533,nan,0.619,0.052,31,
1,TAGCN,1:1,none,42,PGExplainer,0.973,30,nan,0.941,nan,nan,0.174,0.143,31,no
1,TAGCN,1:1,none,42,GNNShap,0.973,30,0.968,nan,0.033,0.955,0.381,0.5,31,
1,TAGCN,1:1,none,43,GNNExplainer,0.975,30,0.885,0.534,0.433,nan,0.636,0.058,31,
1,TAGCN,1:1,none,43,PGExplainer,0.975,30,nan,0.723,nan,nan,0.171,0.195,31,no
1,TAGCN,1:1,none,43,GNNShap,0.975,30,0.968,nan,0.033,0.948,0.352,0.483,31,
1,TAGCN,1:1,none,44,GNNExplainer,0.971,30,0.88,0.569,0.533,nan,0.606,0.001,26,
1,TAGCN,1:1,none,44,PGExplainer,0.971,30,nan,0.789,nan,nan,0.109,0.146,26,no
1,TAGCN,1:1,none,44,GNNShap,0.971,30,0.958,nan,0.133,0.951,0.399,0.379,26,
1,TAGCN,natural,none,42,GNNExplainer,0.988,30,0.893,0.503,0.4,nan,0.627,-0.041,29,
1,TAGCN,natural,none,42,PGExplainer,0.988,30,nan,0.896,nan,nan,0.171,0.127,29,no
1,TAGCN,natural,none,42,GNNShap,0.988,30,0.966,nan,0.2,0.964,0.282,0.46,29,
1,TAGCN,natural,none,43,GNNExplainer,0.989,30,0.909,0.517,0.433,nan,0.727,-0.07,27,
1,TAGCN,natural,none,43,PGExplainer,0.989,30,nan,0.909,nan,nan,0.171,0.181,27,no
1,TAGCN,natural,none,43,GNNShap,0.989,30,0.97,nan,0.167,0.958,0.42,0.335,27,
1,TAGCN,natural,none,44,GNNExplainer,0.987,30,0.903,0.45,0.467,nan,0.704,-0.032,29,
1,TAGCN,natural,none,44,PGExplainer,0.987,30,nan,0.896,nan,nan,0.143,0.151,29,no
1,TAGCN,natural,none,44,GNNShap,0.987,30,0.972,nan,0.133,0.955,0.424,0.219,29,
2,GraphSAGE,1:1,none,42,GNNExplainer,0.985,30,0.86,0.518,0.6,nan,0.718,-0.001,29,
2,GraphSAGE,1:1,none,42,PGExplainer,0.985,30,nan,0.909,nan,nan,0.092,0.297,29,no
2,GraphSAGE,1:1,none,42,GNNShap,0.985,30,0.96,nan,0.1,0.933,0.61,0.3,29,
2,GraphSAGE,1:1,none,43,GNNExplainer,0.984,30,0.885,0.509,0.433,nan,0.763,-0.005,29,
2,GraphSAGE,1:1,none,43,PGExplainer,0.984,30,nan,0.935,nan,nan,0.108,0.337,29,no
2,GraphSAGE,1:1,none,43,GNNShap,0.984,30,0.966,nan,0.1,0.933,0.586,0.348,29,
2,GraphSAGE,1:1,none,44,GNNExplainer,0.982,30,0.879,0.527,0.467,nan,0.728,-0.005,29,
2,GraphSAGE,1:1,none,44,PGExplainer,0.982,30,nan,0.884,nan,nan,0.079,0.264,29,no
2,GraphSAGE,1:1,none,44,GNNShap,0.982,30,0.966,nan,0.067,0.935,0.613,0.317,29,
2,GraphSAGE,natural,none,42,GNNExplainer,0.991,30,0.911,0.506,0.7,nan,0.758,-0.059,30,
2,GraphSAGE,natural,none,42,PGExplainer,0.991,30,nan,0.874,nan,nan,0.16,0.288,30,no
2,GraphSAGE,natural,none,42,GNNShap,0.991,30,0.97,nan,0.3,0.962,0.744,0.356,30,
2,GraphSAGE,natural,none,43,GNNExplainer,0.991,30,0.919,0.528,0.467,nan,0.877,-0.032,31,
2,GraphSAGE,natural,none,43,PGExplainer,0.991,30,nan,0.935,nan,nan,0.16,0.36,31,no
2,GraphSAGE,natural,none,43,GNNShap,0.991,30,0.971,nan,0.2,0.962,0.762,0.314,31,
2,GraphSAGE,natural,none,44,GNNExplainer,0.99,30,0.919,0.524,0.567,nan,0.82,-0.045,30,
2,GraphSAGE,natural,none,44,PGExplainer,0.99,30,nan,0.897,nan,nan,0.12,0.378,30,no
2,GraphSAGE,natural,none,44,GNNShap,0.99,30,0.973,nan,0.267,0.962,0.722,0.349,30,
2,GAT,1:1,none,42,GNNExplainer,0.776,30,0.976,0.534,0.567,nan,0.478,-0.052,31,
2,GAT,1:1,none,42,PGExplainer,0.776,30,nan,0.808,nan,nan,-0.061,-0.051,31,no
2,GAT,1:1,none,42,GNNShap,0.776,30,0.96,nan,0.233,0.92,0.411,0.519,31,
2,GAT,1:1,none,43,GNNExplainer,0.778,30,0.948,0.504,0.7,nan,0.607,-0.043,29,
2,GAT,1:1,none,43,PGExplainer,0.778,30,nan,0.71,nan,nan,0.124,-0.074,29,no
2,GAT,1:1,none,43,GNNShap,0.778,30,0.981,nan,0.433,0.955,0.608,0.058,29,
2,GAT,1:1,none,44,GNNExplainer,0.821,30,0.977,0.528,0.433,nan,0.598,-0.081,27,
2,GAT,1:1,none,44,PGExplainer,0.821,30,nan,0.685,nan,nan,0.146,-0.069,27,no
2,GAT,1:1,none,44,GNNShap,0.821,30,0.968,nan,0.333,0.946,0.572,0.413,27,
2,GAT,natural,none,42,GNNExplainer,0.815,30,0.984,0.562,0.733,nan,0.524,-0.115,31,
2,GAT,natural,none,42,PGExplainer,0.815,30,nan,0.498,nan,nan,-0.219,0.643,31,no
2,GAT,natural,none,42,GNNShap,0.815,30,0.971,nan,0.333,0.952,0.504,0.292,31,
2,GAT,natural,none,43,GNNExplainer,0.893,30,0.985,0.541,0.333,nan,0.619,-0.11,31,
2,GAT,natural,none,43,PGExplainer,0.893,30,nan,0.838,nan,nan,0.214,0.079,31,no
2,GAT,natural,none,43,GNNShap,0.893,30,0.959,nan,0.4,0.944,0.653,0.383,31,
2,GAT,natural,none,44,GNNExplainer,0.884,30,0.979,0.537,0.567,nan,0.652,-0.195,31,
2,GAT,natural,none,44,PGExplainer,0.884,30,nan,0.888,nan,nan,0.284,-0.097,31,no
2,GAT,natural,none,44,GNNShap,0.884,30,0.959,nan,0.267,0.955,0.615,0.386,31,
2,GCN,1:1,none,42,GNNExplainer,0.749,30,0.978,0.514,0.8,nan,0.454,-0.031,30,
2,GCN,1:1,none,42,PGExplainer,0.749,30,nan,0.784,nan,nan,0.074,0.004,30,no
2,GCN,1:1,none,42,GNNShap,0.749,30,0.986,nan,0.1,0.955,0.505,0.259,30,
2,GCN,1:1,none,43,GNNExplainer,0.78,30,0.968,0.502,0.667,nan,0.367,0.035,29,
2,GCN,1:1,none,43,PGExplainer,0.78,30,nan,0.762,nan,nan,0.174,-0.008,29,no
2,GCN,1:1,none,43,GNNShap,0.78,30,0.986,nan,0.2,0.954,0.541,0.251,29,
2,GCN,1:1,none,44,GNNExplainer,0.771,30,0.982,0.506,0.667,nan,0.488,-0.037,32,
2,GCN,1:1,none,44,PGExplainer,0.771,30,nan,0.778,nan,nan,0.132,-0.03,32,no
2,GCN,1:1,none,44,GNNShap,0.771,30,0.989,nan,0.167,0.951,0.578,0.165,32,
2,GCN,natural,none,42,GNNExplainer,0.758,30,0.968,0.481,0.567,nan,0.536,-0.137,29,
2,GCN,natural,none,42,PGExplainer,0.758,30,nan,0.763,nan,nan,0.129,-0.079,29,no
2,GCN,natural,none,42,GNNShap,0.758,30,0.99,nan,0.233,0.97,0.534,0.307,29,
2,GCN,natural,none,43,GNNExplainer,0.745,30,0.984,0.482,0.833,nan,0.611,-0.093,31,
2,GCN,natural,none,43,PGExplainer,0.745,30,nan,0.81,nan,nan,0.204,-0.115,31,no
2,GCN,natural,none,43,GNNShap,0.745,30,0.99,nan,0.133,0.964,0.697,0.235,31,
2,GCN,natural,none,44,GNNExplainer,0.766,30,0.985,0.545,0.5,nan,0.562,-0.083,29,
