graph_seed,architecture,scenario,balancing,model_seed,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
1,GraphSAGE,1:1,none,42,GNNExplainer,8180,1,0.5803007518796993,0.5384615384615384,0.0,,0.005415618419647217,-1.1920928955078125e-07,24
1,GraphSAGE,1:1,none,42,GNNExplainer,8049,1,0.9804511278195489,0.4411764705882353,0.0,,0.9924393892288208,-0.007339417934417725,32
1,GraphSAGE,1:1,none,42,GNNExplainer,8763,2,0.7293233082706767,0.5,1.0,,0.07717615365982056,-1.4424324035644531e-05,29
1,GraphSAGE,1:1,none,42,GNNExplainer,9446,4,0.46781954887218047,0.35,0.0,,0.0,0.0,87
1,GraphSAGE,1:1,none,42,GNNExplainer,9360,4,0.8568421052631578,0.46153846153846156,0.0,,0.9989743232727051,-0.0003769397735595703,29
1,GraphSAGE,1:1,none,42,GNNExplainer,8660,2,0.8287218045112782,0.3333333333333333,1.0,,0.2169114351272583,-4.4345855712890625e-05,26
1,GraphSAGE,1:1,none,42,GNNExplainer,8593,2,0.8418045112781953,0.25,1.0,,3.5762786865234375e-06,1.1563301086425781e-05,24
1,GraphSAGE,1:1,none,42,GNNExplainer,9074,3,0.8924812030075188,0.53125,0.0,,0.9926075339317322,-0.002924203872680664,29
1,GraphSAGE,1:1,none,42,GNNExplainer,8596,2,0.9640601503759398,0.375,1.0,,0.9911794662475586,-0.005196750164031982,22
1,GraphSAGE,1:1,none,42,GNNExplainer,8225,1,0.9136842105263157,0.43333333333333335,0.0,,0.9971619844436646,-0.0027889609336853027,29
1,GraphSAGE,1:1,none,42,GNNExplainer,8447,2,0.9224060150375937,0.625,1.0,,0.30148911476135254,-0.0007531642913818359,21
1,GraphSAGE,1:1,none,42,GNNExplainer,8252,1,0.840751879699248,0.5434782608695652,0.0,,0.008099734783172607,-0.00031244754791259766,35
1,GraphSAGE,1:1,none,42,GNNExplainer,8866,3,0.6879699248120301,0.5,1.0,,0.0060520172119140625,-0.0004883408546447754,40
1,GraphSAGE,1:1,none,42,GNNExplainer,8310,1,0.933533834586466,0.4722222222222222,0.0,,0.41872191429138184,-0.000125885009765625,33
1,GraphSAGE,1:1,none,42,GNNExplainer,8628,2,0.921954887218045,0.5,1.0,,0.9096134901046753,-0.0015500187873840332,25
1,GraphSAGE,1:1,none,42,GNNExplainer,9171,3,0.9215037593984962,0.46153846153846156,0.0,,0.3067624568939209,-0.0008800625801086426,30
1,GraphSAGE,1:1,none,42,GNNExplainer,8321,1,0.8637593984962406,0.525,0.0,,0.9508844017982483,-3.9458274841308594e-05,31
1,GraphSAGE,1:1,none,42,GNNExplainer,8961,3,0.46105263157894727,0.30434782608695654,1.0,,-1.1324882507324219e-05,1.609325408935547e-05,101
1,GraphSAGE,1:1,none,42,GNNExplainer,9096,3,0.9046616541353382,0.5384615384615384,0.0,,0.9119999408721924,-0.0015758275985717773,25
1,GraphSAGE,1:1,none,42,GNNExplainer,8026,1,0.9013533834586467,0.62,0.0,,0.9838930368423462,-0.011273980140686035,31
1,GraphSAGE,1:1,none,42,GNNExplainer,9418,4,0.925563909774436,0.4375,0.0,,0.9272781610488892,-0.028576672077178955,34
1,GraphSAGE,1:1,none,42,GNNExplainer,9291,4,0.9133834586466163,0.4000000000000001,0.0,,0.9528170824050903,-0.03911870718002319,26
1,GraphSAGE,1:1,none,42,GNNExplainer,9132,3,0.9282706766917291,0.43333333333333335,0.0,,0.10240024328231812,-6.663799285888672e-05,37
1,GraphSAGE,1:1,none,42,GNNExplainer,8611,2,0.8581954887218043,0.5,1.0,,0.4558526873588562,-2.110004425048828e-05,25
1,GraphSAGE,1:1,none,42,GNNExplainer,9416,4,0.9051127819548871,0.46875,0.0,,0.43852925300598145,-2.014636993408203e-05,33
1,GraphSAGE,1:1,none,42,GNNExplainer,8488,2,0.896390977443609,0.375,1.0,,0.1359473466873169,-0.0003129243850708008,22
1,GraphSAGE,1:1,none,42,GNNExplainer,8324,1,0.7485714285714284,0.575,1.0,,0.947243332862854,-1.1920928955078125e-07,29
1,GraphSAGE,1:1,none,42,GNNExplainer,8939,3,0.8945864661654135,0.5476190476190477,0.0,,0.8694273233413696,-0.00014340877532958984,37
1,GraphSAGE,1:1,none,42,GNNExplainer,9425,4,0.8833082706766916,0.6458333333333334,0.0,,0.9241455793380737,-0.000801384449005127,39
1,GraphSAGE,1:1,none,42,GNNExplainer,8436,2,0.8867669172932329,0.5,1.0,,0.9781003594398499,-0.0047397613525390625,21
1,GraphSAGE,1:1,none,42,PGExplainer,8180,1,,0.9615384615384616,,,1.1920928955078125e-07,0.0005158185958862305,24
1,GraphSAGE,1:1,none,42,PGExplainer,8049,1,,0.9411764705882353,,,0.0032795071601867676,0.9821327924728394,32
1,GraphSAGE,1:1,none,42,PGExplainer,8763,2,,1.0,,,0.06258106231689453,-1.4424324035644531e-05,29
1,GraphSAGE,1:1,none,42,PGExplainer,9446,4,,0.9500000000000001,,,0.0,0.0,87
1,GraphSAGE,1:1,none,42,PGExplainer,9360,4,,0.9230769230769231,,,0.0003287792205810547,0.6074503660202026,29
1,GraphSAGE,1:1,none,42,PGExplainer,8660,2,,1.0,,,0.00042366981506347656,-3.349781036376953e-05,26
1,GraphSAGE,1:1,none,42,PGExplainer,8593,2,,1.0,,,0.014414548873901367,-5.4836273193359375e-06,24
1,GraphSAGE,1:1,none,42,PGExplainer,9074,3,,0.9375,,,0.00048083066940307617,0.02110421657562256,29
1,GraphSAGE,1:1,none,42,PGExplainer,8596,2,,1.0,,,0.44245314598083496,-0.005207240581512451,22
1,GraphSAGE,1:1,none,42,PGExplainer,8225,1,,0.9333333333333333,,,0.00047385692596435547,0.4128425717353821,29
1,GraphSAGE,1:1,none,42,PGExplainer,8447,2,,1.0,,,0.1952785849571228,-0.0007531642913818359,21
1,GraphSAGE,1:1,none,42,PGExplainer,8252,1,,0.9565217391304348,,,1.52587890625e-05,0.008099853992462158,35
