graph_seed,architecture,scenario,balancing,model_seed,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
0,GraphSAGE,1:1,none,42,PGExplainer,9121,3,,1.0,,,5.1140785217285156e-05,0.0005636811256408691,26
0,GraphSAGE,1:1,none,42,PGExplainer,9405,4,,0.9444444444444444,,,1.1920928955078125e-07,0.025128424167633057,30
0,GraphSAGE,1:1,none,42,PGExplainer,8997,3,,1.0,,,1.1444091796875e-05,0.0013599395751953125,32
0,GraphSAGE,1:1,none,42,PGExplainer,9184,3,,1.0,,,-8.106231689453125e-06,0.002674579620361328,35
0,GraphSAGE,1:1,none,42,PGExplainer,8224,1,,0.9523809523809523,,,1.1920928955078125e-07,0.426285982131958,36
0,GraphSAGE,1:1,none,42,PGExplainer,8333,1,,0.9761904761904762,,,1.9788742065429688e-05,0.2467932105064392,33
0,GraphSAGE,1:1,none,42,PGExplainer,8937,3,,0.9473684210526315,,,0.0,0.0034475326538085938,38
0,GraphSAGE,1:1,none,42,PGExplainer,8209,1,,0.9772727272727273,,,4.172325134277344e-05,0.6134864091873169,25
0,GraphSAGE,1:1,none,42,PGExplainer,8803,2,,1.0,,,0.72604900598526,-0.2615889310836792,17
0,GraphSAGE,1:1,none,42,PGExplainer,8825,2,,0.75,,,0.6565804481506348,-0.12677592039108276,26
0,GraphSAGE,1:1,none,42,PGExplainer,8687,2,,1.0,,,0.05535012483596802,-0.00025147199630737305,30
0,GraphSAGE,1:1,none,42,PGExplainer,8029,1,,0.9545454545454546,,,0.0034096240997314453,0.5382440090179443,25
0,GraphSAGE,1:1,none,42,PGExplainer,8556,2,,1.0,,,0.7961142063140869,-0.0014079809188842773,25
0,GraphSAGE,1:1,none,42,PGExplainer,8226,1,,0.9523809523809523,,,-1.3113021850585938e-06,0.34859222173690796,33
0,GraphSAGE,1:1,none,42,PGExplainer,8604,2,,1.0,,,0.2141284942626953,-0.0005374550819396973,20
0,GraphSAGE,1:1,none,42,PGExplainer,9462,4,,0.9500000000000001,,,1.537799835205078e-05,0.2681018114089966,33
0,GraphSAGE,1:1,none,42,PGExplainer,8521,2,,0.8333333333333334,,,0.6413675546646118,-0.00014889240264892578,23
0,GraphSAGE,1:1,none,42,PGExplainer,9442,4,,0.9500000000000001,,,0.0017417073249816895,0.7191249132156372,30
0,GraphSAGE,1:1,none,42,PGExplainer,9096,3,,0.9411764705882353,,,0.0,0.0016606450080871582,34
0,GraphSAGE,1:1,none,42,PGExplainer,8647,2,,1.0,,,0.520115077495575,-0.0013461709022521973,21
0,GraphSAGE,1:1,none,42,PGExplainer,8698,2,,1.0,,,0.29792970418930054,-0.003912925720214844,18
0,GraphSAGE,1:1,none,42,GNNShap,8568,2,0.9288721804511277,,0.0,0.9740669867365958,0.9582695960998535,0.08681291341781616,17
0,GraphSAGE,1:1,none,42,GNNShap,8147,1,0.9667669172932329,,0.0,0.939298529017865,0.10884886980056763,0.9677472114562988,28
0,GraphSAGE,1:1,none,42,GNNShap,9119,3,0.9464661654135338,,0.0,0.9867530447807965,0.35514891147613525,0.9932376742362976,27
0,GraphSAGE,1:1,none,42,GNNShap,8265,1,0.9717293233082704,,0.0,0.9660253190931222,0.0009044408798217773,0.5510320663452148,34
0,GraphSAGE,1:1,none,42,GNNShap,9321,4,0.9748872180451128,,0.0,0.9567118632377323,0.006405651569366455,0.32793664932250977,32
0,GraphSAGE,1:1,none,42,GNNShap,9008,3,0.9751879699248118,,0.0,0.9641009181718669,0.9951197504997253,2.5510787963867188e-05,33
0,GraphSAGE,1:1,none,42,GNNShap,8107,1,0.8861654135338345,,0.0,0.9963305288683593,0.9982956051826477,0.0,83
0,GraphSAGE,1:1,none,42,GNNShap,8053,1,0.9523308270676691,,0.0,0.9979674401112348,0.99989253282547,0.0,83
0,GraphSAGE,1:1,none,42,GNNShap,9238,4,0.9312781954887217,,0.0,0.9019816974361998,0.9998664259910583,4.172325134277344e-06,39
0,GraphSAGE,1:1,none,42,GNNShap,9121,3,0.9530827067669172,,0.0,0.9938919126156815,0.16534477472305298,0.9342548847198486,26
0,GraphSAGE,1:1,none,42,GNNShap,9405,4,0.9714285714285715,,0.0,0.9522654604156839,0.006904184818267822,0.18156981468200684,30
0,GraphSAGE,1:1,none,42,GNNShap,8997,3,0.9332330827067669,,0.0,0.9749065778135716,0.21852797269821167,0.993948757648468,32
0,GraphSAGE,1:1,none,42,GNNShap,9184,3,0.9115789473684209,,0.0,0.9787606930877948,0.023347854614257812,0.9986560344696045,35
0,GraphSAGE,1:1,none,42,GNNShap,8224,1,0.9272180451127818,,0.0,0.9369379933571382,1.621246337890625e-05,0.4823452830314636,36
