architecture,scenario,val_pr_auc,n_tp,n_plausible,spearman_mean,plaus_f1_mean,plaus_prec_mean,plaus_rec_mean,plaus_feat_mean,subgraph_n_nodes
GraphSAGE,1:1,0.999,30,30,0.832,0.491,0.491,0.491,0.867,30
GraphSAGE,1:10,1.0,30,30,0.884,0.464,0.464,0.464,0.8,30
GraphSAGE,1:50,0.997,30,30,0.934,0.488,0.488,0.488,0.433,31
GAT,1:1,0.798,30,30,0.978,0.517,0.517,0.517,0.667,26
GAT,1:10,0.794,30,30,0.979,0.56,0.56,0.56,0.9,33
GAT,1:50,0.77,30,30,0.991,0.545,0.545,0.545,0.967,33
GCN,1:1,0.852,30,30,0.979,0.454,0.454,0.454,1.0,27
GCN,1:10,0.836,30,30,0.986,0.528,0.528,0.528,0.933,32
GCN,1:50,0.661,7,7,0.958,0.56,0.56,0.56,0.857,36
TAGCN,1:1,0.999,30,30,0.772,0.501,0.501,0.501,0.933,30
TAGCN,1:10,1.0,30,30,0.826,0.47,0.47,0.47,0.833,29
TAGCN,1:50,0.998,30,30,0.918,0.386,0.386,0.386,0.667,31
