architecture,scenario,balancing,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
GAT,1:10,class_weighting,PGExplainer,0.834,30,nan,0.509,nan,nan,nan,nan,29,no
GAT,1:10,class_weighting,GNNShap,0.834,30,0.954,nan,0.2,0.952,nan,nan,29,
GAT,1:10,focal_loss,GNNExplainer,0.735,30,0.926,0.555,0.233,nan,1.0,0.0,32,
GAT,1:10,focal_loss,PGExplainer,0.735,30,nan,0.343,nan,nan,nan,nan,32,no
GAT,1:10,focal_loss,GNNShap,0.735,30,0.993,nan,0.267,0.957,nan,nan,32,
GAT,1:50,none,GNNExplainer,0.706,15,0.992,0.532,0.667,nan,1.0,1.0,37,
GAT,1:50,none,PGExplainer,0.706,15,nan,0.808,nan,nan,nan,nan,37,no
GAT,1:50,none,GNNShap,0.706,15,0.987,nan,0.2,0.91,nan,nan,37,
GAT,1:50,class_weighting,GNNExplainer,0.691,30,0.971,0.551,0.567,nan,1.0,0.0,32,
GAT,1:50,class_weighting,PGExplainer,0.691,30,nan,0.776,nan,nan,nan,nan,32,no
GAT,1:50,class_weighting,GNNShap,0.691,30,0.956,nan,0.167,0.926,nan,nan,32,
GAT,1:50,focal_loss,GNNExplainer,0.682,15,0.948,0.53,0.0,nan,1.0,1.0,37,
GAT,1:50,focal_loss,PGExplainer,0.682,15,nan,0.581,nan,nan,nan,nan,37,no
GAT,1:50,focal_loss,GNNShap,0.682,15,0.993,nan,0.133,0.935,nan,nan,37,
GAT,1:100,none,GNNExplainer,0.648,10,0.992,0.531,1.0,nan,1.0,0.84,38,
GAT,1:100,none,PGExplainer,0.648,10,nan,0.781,nan,nan,nan,nan,38,no
GAT,1:100,none,GNNShap,0.648,10,0.994,nan,0.5,0.889,nan,nan,38,
GAT,1:100,class_weighting,GNNExplainer,0.665,30,0.983,0.548,0.867,nan,1.0,0.0,33,
