graph_seed,architecture,scenario,balancing,explainer,n_seeds,spearman_mean,spearman_sd,plaus_edge_mean,plaus_edge_sd,plaus_feat_mean,plaus_feat_sd,shap_conc_mean,shap_conc_sd,fid_plus_mean,fid_plus_sd,fid_minus_mean,fid_minus_sd
0,TAGCN,natural,focal_loss,PGExplainer,3,nan,nan,0.847,0.0156,nan,nan,nan,nan,-0.0037,0.0252,0.1073,0.0348
0,TAGCN,natural,none,GNNExplainer,3,0.8833,0.0146,0.3843,0.0241,0.5443,0.1174,nan,nan,0.632,0.0442,0.0337,0.0071
0,TAGCN,natural,none,GNNShap,3,0.967,0.0046,nan,nan,0.1223,0.0387,0.962,0.0044,0.3747,0.0264,0.2117,0.0339
0,TAGCN,natural,none,PGExplainer,3,nan,nan,0.87,0.0122,nan,nan,nan,nan,0.083,0.0528,0.2547,0.02
1,GAT,1:1,none,GNNExplainer,3,0.9773,0.0075,0.5533,0.015,0.2667,0.2335,nan,nan,0.595,0.0901,-0.11,0.0623
1,GAT,1:1,none,GNNShap,3,0.97,0.006,nan,nan,0.1667,0.0577,0.93,0.0044,0.4367,0.0476,0.461,0.0981
1,GAT,1:1,none,PGExplainer,3,nan,nan,0.545,0.2442,nan,nan,nan,nan,0.0517,0.2014,0.299,0.3614
1,GAT,natural,none,GNNExplainer,3,0.9813,0.0025,0.5307,0.0285,0.4553,0.0387,nan,nan,0.62,0.0193,-0.1437,0.0593
1,GAT,natural,none,GNNShap,3,0.9633,0.0098,nan,nan,0.2337,0.1155,0.9507,0.0029,0.4723,0.0705,0.4313,0.0287
1,GAT,natural,none,PGExplainer,3,nan,nan,0.6537,0.242,nan,nan,nan,nan,0.1377,0.2688,0.2023,0.351
1,GCN,1:1,none,GNNExplainer,3,0.9783,0.0021,0.5053,0.0154,0.6557,0.1019,nan,nan,0.4583,0.1181,0.0067,0.0061
1,GCN,1:1,none,GNNShap,3,0.984,0.0035,nan,nan,0.0777,0.0508,0.9627,0.0021,0.641,0.0135,0.2483,0.0246
1,GCN,1:1,none,PGExplainer,3,nan,nan,0.5653,0.0256,nan,nan,nan,nan,-0.044,0.0111,0.08,0.1244
1,GCN,natural,none,GNNExplainer,3,0.9823,0.0021,0.5277,0.0067,0.5447,0.1345,nan,nan,0.5827,0.0277,-0.1043,0.0168
1,GCN,natural,none,GNNShap,3,0.9887,0.0031,nan,nan,0.189,0.0191,0.9737,0.0012,0.666,0.0411,0.2887,0.0393
1,GCN,natural,none,PGExplainer,3,nan,nan,0.823,0.037,nan,nan,nan,nan,0.1483,0.0076,-0.1137,0.0145
1,GraphSAGE,1:1,none,GNNExplainer,3,0.8507,0.011,0.4893,0.0144,0.4333,0.0335,nan,nan,0.5513,0.0177,-0.0027,0.0015
1,GraphSAGE,1:1,none,GNNShap,3,0.9627,0.0038,nan,nan,0.1557,0.0196,0.949,0.0046,0.482,0.0512,0.4243,0.0559
1,GraphSAGE,1:1,none,PGExplainer,3,nan,nan,0.8717,0.062,nan,nan,nan,nan,0.0817,0.0347,0.2307,0.024
1,GraphSAGE,natural,none,GNNExplainer,3,0.8973,0.0101,0.5427,0.0208,0.5337,0.0577,nan,nan,0.7857,0.0274,-0.0193,0.0119
1,GraphSAGE,natural,none,GNNShap,3,0.9673,0.0012,nan,nan,0.2667,0.0665,0.9553,0.004,0.542,0.0185,0.488,0.0433
1,GraphSAGE,natural,none,PGExplainer,3,nan,nan,0.9397,0.0114,nan,nan,nan,nan,0.2113,0.0248,0.3327,0.0093
1,TAGCN,1:1,none,GNNExplainer,3,0.8793,0.006,0.5443,0.0215,0.4997,0.0577,nan,nan,0.6203,0.015,0.037,0.0313
1,TAGCN,1:1,none,GNNShap,3,0.9647,0.0058,nan,nan,0.0663,0.0577,0.9513,0.0035,0.3773,0.0237,0.454,0.0655
1,TAGCN,1:1,none,PGExplainer,3,nan,nan,0.8177,0.1118,nan,nan,nan,nan,0.1513,0.0367,0.1613,0.0292
1,TAGCN,natural,none,GNNExplainer,3,0.9017,0.0081,0.49,0.0353,0.4333,0.0335,nan,nan,0.686,0.0524,-0.0477,0.0199
1,TAGCN,natural,none,GNNShap,3,0.9693,0.0031,nan,nan,0.1667,0.0335,0.959,0.0046,0.3753,0.0809,0.338,0.1205
1,TAGCN,natural,none,PGExplainer,3,nan,nan,0.9003,0.0075,nan,nan,nan,nan,0.1617,0.0162,0.153,0.0271
2,GAT,1:1,none,GNNExplainer,3,0.967,0.0165,0.522,0.0159,0.5667,0.1335,nan,nan,0.561,0.072,-0.0587,0.0199
2,GAT,1:1,none,GNNShap,3,0.9697,0.0106,nan,nan,0.333,0.1,0.9403,0.0182,0.5303,0.1049,0.33,0.2414
2,GAT,1:1,none,PGExplainer,3,nan,nan,0.7343,0.065,nan,nan,nan,nan,0.0697,0.1137,-0.0647,0.0121
2,GAT,natural,none,GNNExplainer,3,0.9827,0.0032,0.5467,0.0134,0.5443,0.201,nan,nan,0.5983,0.0665,-0.14,0.0477
2,GAT,natural,none,GNNShap,3,0.963,0.0069,nan,nan,0.3333,0.0665,0.9503,0.0057,0.5907,0.0774,0.3537,0.0534
2,GAT,natural,none,PGExplainer,3,nan,nan,0.7413,0.2122,nan,nan,nan,nan,0.093,0.2725,0.2083,0.3866
2,GCN,1:1,none,GNNExplainer,3,0.976,0.0072,0.5073,0.0061,0.7113,0.0768,nan,nan,0.4363,0.0624,-0.011,0.0399
2,GCN,1:1,none,GNNShap,3,0.987,0.0017,nan,nan,0.1557,0.051,0.9533,0.0021,0.5413,0.0365,0.225,0.0521
2,GCN,1:1,none,PGExplainer,3,nan,nan,0.7747,0.0114,nan,nan,nan,nan,0.1267,0.0502,-0.0113,0.0172
2,GCN,natural,none,GNNExplainer,3,0.979,0.0095,0.5027,0.0367,0.6333,0.1761,nan,nan,0.5697,0.0381,-0.1043,0.0287
2,GCN,natural,none,GNNShap,3,0.99,0.0,nan,nan,0.1663,0.0577,0.9673,0.0031,0.6413,0.093,0.2867,0.0451
2,GCN,natural,none,PGExplainer,3,nan,nan,0.786,0.0235,nan,nan,nan,nan,0.1507,0.0465,-0.0923,0.0197
2,GraphSAGE,1:1,none,GNNExplainer,3,0.8747,0.0131,0.518,0.009,0.5,0.0883,nan,nan,0.7363,0.0236,-0.0037,0.0023
2,GraphSAGE,1:1,none,GNNShap,3,0.964,0.0035,nan,nan,0.089,0.0191,0.9337,0.0012,0.603,0.0148,0.3217,0.0243
2,GraphSAGE,1:1,none,PGExplainer,3,nan,nan,0.9093,0.0255,nan,nan,nan,nan,0.093,0.0145,0.2993,0.0366
2,GraphSAGE,natural,none,GNNExplainer,3,0.9163,0.0046,0.5193,0.0117,0.578,0.1169,nan,nan,0.8183,0.0595,-0.0453,0.0135
2,GraphSAGE,natural,none,GNNShap,3,0.9713,0.0015,nan,nan,0.2557,0.051,0.962,0.0,0.7427,0.02,0.3397,0.0225
2,GraphSAGE,natural,none,PGExplainer,3,nan,nan,0.902,0.0308,nan,nan,nan,nan,0.1467,0.0231,0.342,0.0476
2,TAGCN,1:1,none,GNNExplainer,3,0.8577,0.03,0.5863,0.0399,0.6777,0.1349,nan,nan,0.6317,0.0508,0.0127,0.0353
2,TAGCN,1:1,none,GNNShap,3,0.9573,0.0067,nan,nan,0.1,0.067,0.95,0.0078,0.4733,0.0201,0.3933,0.0317
2,TAGCN,1:1,none,PGExplainer,3,nan,nan,0.9247,0.0055,nan,nan,nan,nan,0.1387,0.0212,0.1397,0.0179
2,TAGCN,natural,none,GNNExplainer,3,0.9077,0.0112,0.5273,0.0239,0.689,0.0191,nan,nan,0.676,0.017,-0.047,0.0251
2,TAGCN,natural,none,GNNShap,3,0.969,0.0017,nan,nan,0.2337,0.0577,0.966,0.0026,0.3177,0.053,0.3213,0.0264
2,TAGCN,natural,none,PGExplainer,3,nan,nan,0.8607,0.0096,nan,nan,nan,nan,0.1613,0.0348,0.153,0.0123
