architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GraphSAGE,1:1,8568,2,0.9452631578947368,0.25,0.25,0.25,1.0,17,32
GraphSAGE,1:1,8147,1,0.9004511278195488,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,28,62
GraphSAGE,1:1,9119,3,0.8541353383458645,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,27,52
GraphSAGE,1:1,8265,1,0.8672180451127819,0.5,0.5,0.5,1.0,34,76
GraphSAGE,1:1,9321,4,0.823609022556391,0.5,0.5,0.5,0.0,32,62
GraphSAGE,1:1,9008,3,0.7221052631578947,0.5,0.5,0.5,0.0,33,64
GraphSAGE,1:1,8107,1,0.4825563909774435,0.391304347826087,0.391304347826087,0.391304347826087,1.0,83,174
GraphSAGE,1:1,8053,1,0.49052631578947353,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,83,176
GraphSAGE,1:1,9238,4,0.7633082706766917,0.5,0.5,0.5,0.0,39,76
GraphSAGE,1:1,9121,3,0.8921804511278195,0.5,0.5,0.5,0.0,26,50
GraphSAGE,1:1,9405,4,0.699548872180451,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,30,58
GraphSAGE,1:1,8997,3,0.8293233082706765,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,32,64
GraphSAGE,1:1,9184,3,0.7147368421052631,0.4375,0.4375,0.4375,0.0,35,68
GraphSAGE,1:1,8224,1,0.4121804511278195,0.5476190476190477,0.5476190476190477,0.5476190476190477,0.0,36,80
GraphSAGE,1:1,8333,1,0.8275187969924811,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,33,76
GraphSAGE,1:1,8937,3,0.8604511278195488,0.5,0.5,0.5,0.0,38,74
GraphSAGE,1:1,8209,1,0.9293233082706767,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,25,60
GraphSAGE,1:1,8803,2,0.9354887218045114,0.25,0.25,0.25,1.0,17,32
GraphSAGE,1:1,8825,2,0.9542857142857143,0.625,0.625,0.625,1.0,26,50
GraphSAGE,1:1,8687,2,0.8551879699248118,0.375,0.375,0.375,1.0,30,58
GraphSAGE,1:1,8029,1,0.9693233082706767,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.0,25,52
GraphSAGE,1:1,8556,2,0.9314285714285713,0.5,0.5,0.5,1.0,25,48
GraphSAGE,1:1,8226,1,0.8574436090225565,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,33,74
