run_id,scenario,architecture,balancing,seed,quality_passed,split,grid_x,pr_precision,roc_tpr
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.5600,0.323605,0.952574
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.5700,0.319248,0.955278
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.5800,0.315292,0.955802
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.5900,0.311125,0.956308
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6000,0.308021,0.957150
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6100,0.306378,0.957578
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6200,0.301368,0.958384
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6300,0.294263,0.962575
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6400,0.284293,0.965416
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6500,0.275928,0.966054
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6600,0.266523,0.966083
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6700,0.259714,0.966614
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6800,0.243684,0.968271
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.6900,0.241082,0.968408
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7000,0.240021,0.968953
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7100,0.225702,0.971554
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7200,0.218402,0.973906
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7300,0.212929,0.977306
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7400,0.207130,0.977859
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7500,0.201151,0.979779
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7600,0.189240,0.982600
