run_id,scenario,architecture,balancing,seed,quality_passed,split,n_pos,roc_auc,pr_auc_ap,pr_auc_trap,prec_at_50,prec_at_100,prec_at_npos
1:100_GCN_focal_loss_s43,1:100,GCN,focal_loss,43,False,val,914,0.6625407410394474,0.09305592784045413,0.09245759980683746,0.28,0.29,0.17943107221006566
1:100_GCN_focal_loss_s43,1:100,GCN,focal_loss,43,False,test,169,0.5904524979203617,0.008386324843974615,0.008242348746193798,0.0,0.01,0.011834319526627219
1:100_GCN_focal_loss_s44,1:100,GCN,focal_loss,44,False,val,914,0.6532643454483268,0.0927989229547902,0.09186794060392978,0.44,0.37,0.14770240700218817
1:100_GCN_focal_loss_s44,1:100,GCN,focal_loss,44,False,test,169,0.5107000064068042,0.006813142415916504,0.006697008565293651,0.02,0.01,0.005917159763313609
1:100_GCN_none,1:100,GCN,none,42,False,val,914,0.6186008672398848,0.05877525193773296,0.058370381011692056,0.12,0.17,0.09956236323851203
1:100_GCN_none,1:100,GCN,none,42,False,test,169,0.5421073703207493,0.007191537626945587,0.0071287750293272745,0.0,0.0,0.0
1:100_GCN_none_s43,1:100,GCN,none,43,False,val,914,0.5454542381725312,0.0341548553646959,0.03406943131833359,0.0,0.0,0.0175054704595186
1:100_GCN_none_s43,1:100,GCN,none,43,False,test,169,0.45688825375473474,0.006053722501113459,0.006007215428027659,0.0,0.0,0.0
1:100_GCN_none_s44,1:100,GCN,none,44,False,val,914,0.6226491487762968,0.08120732692817702,0.08032358876756449,0.4,0.38,0.1323851203501094
1:100_GCN_none_s44,1:100,GCN,none,44,False,test,169,0.4956332096828683,0.00654899987058356,0.006499611262690515,0.0,0.0,0.0
1:100_GraphSAGE_class_weighting,1:100,GraphSAGE,class_weighting,42,True,val,914,0.9091104876001738,0.46902688279231824,0.4686683268188669,0.84,0.79,0.4912472647702407
1:100_GraphSAGE_class_weighting,1:100,GraphSAGE,class_weighting,42,True,test,169,0.7251854049396202,0.018835299447598965,0.018565120988745014,0.0,0.0,0.005917159763313609
1:100_GraphSAGE_class_weighting_s43,1:100,GraphSAGE,class_weighting,43,True,val,914,0.8866526172327511,0.4599786482178021,0.45965394164384926,0.9,0.79,0.5142231947483589
1:100_GraphSAGE_class_weighting_s43,1:100,GraphSAGE,class_weighting,43,True,test,169,0.5373052260739953,0.007363224960545972,0.007283466613785299,0.0,0.0,0.0
1:100_GraphSAGE_class_weighting_s44,1:100,GraphSAGE,class_weighting,44,True,val,914,0.9100985582763805,0.46953876312553494,0.46905864698304667,0.9,0.89,0.5054704595185996
1:100_GraphSAGE_class_weighting_s44,1:100,GraphSAGE,class_weighting,44,True,test,169,0.7556600513625007,0.021524135391276598,0.02074231207043323,0.06,0.07,0.05325443786982249
1:100_GraphSAGE_focal_loss,1:100,GraphSAGE,focal_loss,42,False,val,914,0.5509760084279309,0.03444263300665418,0.034332802557299064,0.0,0.02,0.0262582056892779
